Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,
214.61579499999993,1000,,0.2911723027389068,-3.9654995307624326,0.000025974512823129484,0.04168696156870061,0,0,0,0,0,0,3.0625,,
214.64704499999993,1000,,0.2911723027389068,-3.9654995307624326,0.000024204256476062916,0.042162208363209885,0,0,0,0,0,0,3.0625,,
214.69261000000125,1000,,0.2911723027389068,-3.9654995307624326,0.00002233724626070262,0.04252640177930139,0,0,0,0,0,0,3.0625,,
214.7296550000012,1000,,0.2911723027389068,-3.9654995307624326,0.00004003581939910391,0.0422795692508669,0,0,0,0,0,0,3.0625,,
214.7687650000006,1000,,0.2911723027389068,-3.9654995307624326,0.000029553418333539033,0.04258417962855693,0,0,0,0,0,0,3.0625,,
214.80200500000083,1000,,0.2911723027389068,-3.9654995307624326,0.00001554001271196711,0.04191733007027004,0,0,0,0,0,0,3.0625,,
214.845125,1000,,0.2911723027389068,-3.9654995307624326,0,0.0420896009394614,0,0,0,0,0,0,3.0625,,
214.8793950000014,1000,,0.29117230273890676,-3.9654995307624326,0.000007024086883297151,0.04290017810556629,0,0,0,0,0,0,3.0625,,
214.91682500000113,1000,,0.29117230273890676,-3.9654995307624326,0,0.042372043363372136,0,0,0,0,0,0,3.0625,,
214.96465000000038,1000,,0.29117230273890676,-3.9654995307624326,0,0.04248048848401881,0,0,0,0,0,0,3.0625,,
215.00355000000076,1000,,0.29117230273890676,-3.9654995307624326,0,0.04333976409162049,0,0,0,0,0,0,3.0625,,
215.0620700000003,1000,,0.29117230273890676,-3.9654995307624326,0,0.043046786064850406,0,0,0,0,0,0,3.0625,,
215.1016400000006,1000,,0.2911723027389067,-3.9654995307624326,0,0.043098544852510245,0,0,0,0,0,0,3.0625,,
215.13126000000165,1000,,0.2911723027389067,-3.965499530762433,0,0.04320918611473562,0,0,0,0,0,0,3.0625,,
215.16958999999986,1000,,0.2911723027389067,-3.965499530762433,0,0.04337779538605574,0,0,0,0,0,0,3.0625,,
215.2093650000021,1000,,0.29117230273890676,-3.9654995307624326,0,0.04358463869282064,0,0,0,0,0,0,3.0625,,
215.2472300000023,1000,,0.2911723027389068,-3.9654995307624326,0,0.04333312098301417,0,0,0,0,0,0,3.0625,,
215.312375,1000,,0.2911723027389068,-3.9654995307624326,0,0.04289266828250521,0,0,0,0,0,0,3.0625,,
215.3543350000009,1000,,0.2911723027389068,-3.9654995307624326,0,0.043280676469150625,0,0,0,0,0,0,3.0625,,
215.39786000000126,1000,,0.2911723027389068,-3.965499530762433,0,0.04265770959716869,0,0,0,0,0,0,3.0625,,
215.4361000000015,1000,,0.2911723027389068,-3.965499530762433,0,0.04185757080496472,0,0,0,0,0,0,3.0625,,
