Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),4N76 Temp (ºC),App message,targetThrust,Change,Integral,P,I,D,kp,ki,kd,Mark,
0.7844349999986588,1000,,-0.02851627323529854,0.2990642225285923,30.00442800771878,-1.2112354106091563,0,36.342425678022124,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.8195599999986589,1000,,-0.028589431407674337,0.3001367476154244,30.005047681726403,-1.2066363112488732,0,36.2051800535249,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.8666749999988824,1000,,-0.02855543129408039,0.30044278092927473,30.002913113940572,-1.2054061374143998,0,36.16569560785495,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
0.9437749999985099,1000,,-0.028571213235666748,0.3016096847163676,30.004260613941,-1.2035867506700275,0,36.112730538589936,0,0,0,0,23.875,,-3,0,0,0,0,0,10,0.10000000000000002,1,0,
1.0434399999994786,1000,,-0.028519395294301864,0.3005241843180308,29.999810166995605,-1.1962557635228728,0,35.88744581686057,0,0,0,0,23.875,,-3,0,0,0,0,0,10,0.10000000000000002,1,0,
1.1185299999993294,1000,,-0.028504313215059918,0.29805436539779856,30.005112478221058,-1.1879410022398862,0,35.644303389698436,0,0,0,0,23.875,,-3,0,0,0,0,0,10,0.10000000000000002,1,0,
1.239059999998659,1000,,-0.028409681316767466,0.2973066077010533,30.004219901694093,-1.1812698054680772,0,35.443079006495594,0,0,0,0,23.875,,-3,0,0,0,0,0,10,0.10000000000000002,1,0,
1.3455999999977648,1000,,-0.028298102339165243,0.29874209645642885,30.0067351793885,-1.2018077420038757,0,36.06232665084916,0,0,0,0,23.875,,-2,0,0,0,0,0,10,0.10000000000000002,1,0,
1.3946349999979137,1000,,-0.028347048940941588,0.29982573742543556,30.010120011404428,-1.207970081832644,0,36.25132712598367,0,0,0,0,23.875,,-2,0,0,0,0,0,10,0.10000000000000002,1,0,
1.4322149999979883,1000,,-0.028372718281543863,0.30051391124600924,30.007665022140014,-1.2098865829728278,0,36.30587129663023,0,0,0,0,23.875,,-2,0,0,0,0,0,10,0.10000000000000002,1,0,
1.5696499999985098,1000,,-0.028329406456412187,0.30311383622026666,30.011600084174454,-1.2174253422542478,0,36.536882504073695,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
1.6622199999988079,1000,,-0.02819047272123343,0.3026441119763503,30.005943636843305,-1.2227444199740776,0,36.68960014800683,0,0,0,0,23.875,,-1,0,0,0,0,0,10,0.10000000000000002,1,0,
1.7350699999984354,1000,,-0.02817623945470632,0.30090487346140254,30.001909527051275,-1.2249766006974936,0,36.751637146881016,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
1.8046749999988825,1000,,-0.028240916637801983,0.3004808096616504,30.00521762234948,-1.225068439921658,0,36.758445142121516,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
1.8768699999991805,1150,,-0.02835767702142994,0.29885234017476225,30.00927337881958,-1.2251068075071874,0,36.76456510473608,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
2.0191899999994787,1150,,-0.028367429709469205,0.2966569728524957,30.005860514845764,-1.2236022241035567,0,36.71523766210637,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
2.1588899999987334,1150,,-0.02845500850075755,0.29729360054148374,30.01804442604066,-1.2226702967395962,0,36.702171285929516,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
2.3165649999994784,1150,,-0.028223910350901438,0.29945695753927976,30.002505860959126,-1.225649599157716,0,36.77255928221158,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
2.426004999998957,1150,,-0.02813872283995883,0.30211015591598334,30.000152350402562,-1.2280823761627413,0,36.84265838372663,0,0,0,0,23.875,,0,0,0,0,0,0,10,0.10000000000000002,1,0,
2.570219999998808,1150,,-0.0281482187895849,0.29990434852777464,30.00576437785505,-1.2233382852354986,0,36.707200341185604,0,0,0,0,23.875,,1,0,0,0,0,0,10,0.10000000000000002,1,0,
2.6894799999985843,1150,,-0.028233012153465242,0.2990804087109241,30.011787278641748,-1.2241133191059106,0,36.73782853795869,0,0,0,0,23.875,,1,0,0,0,0,0,10,0.10000000000000002,1,0,
2.7901499999985098,1150,,-0.02838064949801139,0.296447515536703,30.008145923460415,-1.2273755769188197,0,36.83126541507136,0,0,0,0,23.875,,1,0,0,0,0,0,10,0.10000000000000002,1,0,
2.890009999997914,1150,,-0.02853962895068357,0.2970956655044325,30.008074526907222,-1.2292144758721744,0,36.886359601525406,0,0,0,0,23.875,,1,0,0,0,0,0,10,0.10000000000000002,1,0,
3.0300800000000745,1150,,-0.028434204092416426,0.2967824655315189,30.008569738283608,-1.2276439438636542,0,36.839838903213995,0,0,0,0,23.875,,1,0,0,0,0,0,10,0.10000000000000002,1,0,
3.18264999999851,1150,,-0.028335266476118226,0.29448241625482074,30.008734243484,-1.2268506044825052,0,36.8162337463732,0,0,0,0,23.875,,2,0,0,0,0,0,10,0.10000000000000002,1,0,
3.2173149999994783,1150,,-0.02832080421789701,0.29427399920401615,30.00865411139284,-1.2274547186290248,0,36.834264088735424,0,0,0,0,23.875,,2,0,0,0,0,0,10,0.10000000000000002,1,0,
3.3309099999982865,1150,,-0.028274891211665154,0.2945269355849519,30.009509452460904,-1.2290045972890762,0,36.88182507946444,0,0,0,0,23.875,,2,0,0,0,0,0,10,0.10000000000000002,1,0,
3.4010899999979882,1150,,-0.028224903640787724,0.2967857650913921,30.012123847676712,-1.229605216491088,0,36.903064041079865,0,0,0,0,23.875,,2,0,0,0,0,0,10,0.10000000000000002,1,0,
3.5141899999994783,1150,,-0.028416284226676136,0.29520690976329234,30.010042532934516,-1.2258089093224633,0,36.786577506017196,0,0,0,0,23.875,,2,0,0,0,0,0,10,0.10000000000000002,1,0,
3.681969999998808,1150,,-0.028481126806312373,0.2949819115164898,30.008530239190844,-1.2247144334572262,0,36.75188011077466,0,0,0,0,23.875,,2,0,0,0,0,0,10,0.10000000000000002,1,0,
3.9928399999979884,1150,,-0.0283449275179411,0.2967744153506365,29.99734427129797,-1.22490483727349,0,36.7438921032711,0,0,0,0,23.875,,2,0,0,0,0,0,10,0.10000000000000002,1,0,
4.180779999997466,1150,,-0.028258899010801863,0.29624486264848815,30.002338105243602,-1.2218359406774295,0,36.65793500134261,0,0,0,0,23.875,,2,0,0,0,0,0,10,0.10000000000000002,1,0,
